chainage_m,lon,lat,elev_m
1754.9,76.917359,29.985197,256.054993
1766.8,76.917479,29.98517,255.994003
1778.9,76.9176,29.985143,256.070007
1791.0,76.917722,29.985117,256.037994
1803.0,76.917843,29.98509,255.979004
1814.1,76.917955,29.985065,255.841003
1826.1,76.918076,29.985039,255.906006
1836.6,76.918181,29.985016,256.234985
1848.6,76.918302,29.984989,256.200989
1860.9,76.918426,29.984962,256.231995
1873.2,76.91855,29.984935,256.144989
1885.4,76.918673,29.984909,256.210999
1897.6,76.918795,29.984882,256.230011
1909.8,76.918919,29.984856,256.417999
1921.9,76.919041,29.98483,256.304993
1934.3,76.919165,29.984803,256.290009
1946.4,76.919288,29.984777,256.390015
1958.4,76.919408,29.984751,256.350006
1970.1,76.919526,29.984724,256.192993
1981.3,76.919638,29.984699,256.151001
1992.9,76.919755,29.984673,256.395996
2005.2,76.919879,29.984646,256.393005
2017.2,76.92,29.98462,256.421997
2029.2,76.920121,29.984594,256.472992
2040.8,76.920238,29.984569,256.419006
2053.0,76.920361,29.984542,256.368011
2065.1,76.920483,29.984516,256.294006
2077.2,76.920604,29.984489,256.359985
2089.1,76.920724,29.984463,256.471008
2098.3,76.920817,29.984443,256.393005
2110.3,76.920938,29.984417,256.28299
2115.1,76.920986,29.984407,256.32901
2121.4,76.92105,29.984393,256.549988
2133.5,76.921171,29.984367,256.70401
2145.5,76.921293,29.984342,256.575012
2155.8,76.921396,29.984319,256.38501
2166.5,76.921504,29.984296,256.615997
2178.2,76.921622,29.98427,256.807007
2190.5,76.921745,29.984242,256.733002
2202.6,76.921867,29.984215,256.562988
2214.6,76.921988,29.984188,256.604004
2226.3,76.922105,29.984162,256.627014
2238.3,76.922226,29.984136,256.833008
2249.2,76.922336,29.984111,256.84201
2260.5,76.922449,29.984085,256.700989
2272.5,76.92257,29.984059,256.774994
2284.4,76.92269,29.984032,256.727997
2296.5,76.922812,29.984005,256.820007
2308.7,76.922934,29.983979,257.007996
2314.1,76.922989,29.983968,256.988007
2326.2,76.923113,29.983952,256.970001
2331.7,76.92317,29.98395,256.877014
